
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
143,1990-91,SAS*,NBA,82,55,27,.671,19830,3409,6988,3328,6691,81,297,1883,2459,1131,2657,3788,2140,670,571,1445,1896,8782,4.51,-0.21,4.30,98.6,107.8,103.3,.494,15.2,33.3,0.269,.463,13.2,29.7,0.228
144,1991-92,GSW*,NBA,82,55,27,.671,19880,3767,7427,3513,6664,254,763,1944,2606,1137,2376,3513,2064,854,375,1353,2049,9732,3.90,-0.14,3.77,103.4,113.6,109.9,.524,13.6,31.8,0.262,.499,14.9,35.8,0.256
145,1991-92,UTA*,NBA,82,55,27,.671,19880,3379,6866,3221,6408,158,458,1961,2490,1097,2543,3640,2188,715,448,1264,1746,8877,6.39,-0.69,5.70,95.5,112.2,105.6,.504,13.7,32.7,0.286,.475,13.0,31.1,0.214
146,1992-93,HOU*,NBA,82,55,27,.671,19780,3280,6744,2893,5671,387,1073,1584,2090,985,2532,3517,2115,682,543,1295,1699,8531,4.23,-0.66,3.57,94.4,109.6,105.2,.515,14.5,30.0,0.235,.474,13.4,31.5,0.201
147,1992-93,SEA*,NBA,82,55,27,.671,19780,3473,7140,3255,6530,218,610,1720,2259,1222,2254,3476,1906,944,409,1267,1971,8884,7.07,-0.42,6.66,96.0,112.3,104.9,.502,13.5,35.5,0.241,.489,16.4,32.3,0.260
148,1993-94,CHI*,NBA,82,55,27,.671,19780,3245,6815,3012,6156,233,659,1310,1859,1143,2391,3534,2102,740,354,1306,1750,8033,3.09,-0.22,2.87,91.9,106.1,102.7,.493,14.6,33.8,0.192,.482,15.3,29.2,0.225
149,1993-94,SAS*,NBA,82,55,27,.671,19780,3178,6688,2929,5974,249,714,1597,2151,1189,2597,3786,1896,561,450,1198,1662,8202,5.26,-0.21,5.05,90.1,110.4,104.6,.494,13.6,35.6,0.239,.467,11.7,29.5,0.196
150,1994-95,NYK*,NBA,82,55,27,.671,19780,2985,6394,2453,4948,532,1446,1552,2114,929,2473,3402,2055,591,387,1305,2102,8054,3.11,-0.33,2.78,91.2,107.2,103.8,.508,15.1,28.6,0.243,.468,14.4,29.2,0.281
151,1995-96,UTA*,NBA,82,55,27,.671,19780,3129,6417,2752,5404,377,1013,1769,2302,993,2373,3366,2139,667,418,1215,2046,8404,6.59,-0.34,6.24,90.0,113.3,106.1,.517,14.1,31.6,0.276,.489,15.1,28.3,0.295
152,1997-98,MIA*,NBA,82,55,27,.671,19755,2850,6327,2302,4783,548,1544,1539,2082,1028,2419,3447,1758,665,429,1226,1982,7787,4.93,0.17,5.09,87.9,107.6,102.0,.494,14.5,31.5,0.243,.452,14.2,30.4,0.257
153,1999-00,UTA*,NBA,82,55,27,.671,19755,2962,6380,2633,5526,329,854,1661,2150,936,2426,3362,2041,629,446,1220,2013,7914,4.46,0.06,4.52,89.6,107.3,102.3,.490,14.3,29.5,0.260,.477,15.0,26.8,0.256
154,2000-01,SAC*,NBA,82,55,27,.671,20080,3132,6969,2653,5616,479,1353,1600,2075,987,2705,3692,1852,793,432,1221,1596,8343,5.82,0.25,6.07,94.4,105.6,99.6,.484,13.4,27.2,0.230,.460,14.5,29.3,0.181
155,2003-04,SAC*,NBA,82,55,27,.671,19780,3103,6711,2502,5213,601,1498,1626,2044,888,2492,3380,2152,710,325,1137,1586,8433,5.01,0.40,5.41,92.8,110.3,104.9,.507,13.0,26.0,0.242,.483,13.7,30.2,0.193
156,2007-08,HOU*,NBA,82,55,27,.671,19730,3003,6698,2420,4991,583,1707,1342,1848,1002,2659,3661,1757,598,420,1125,1609,7931,4.68,0.15,4.84,90.4,106.8,101.6,.492,13.0,29.1,0.200,.465,12.8,25.2,0.214
